SA4_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
201,3367,19839,21933,7561,4526,2515,59743,76798,80690,157485,9318,19651,9654,9873,17520,18747,21290,21334,17469,8886,3745,37943,25289,2833,1333,4899,2
202,3004,18726,21558,7600,4279,2348,57513,74698,78392,153092,9228,19077,9372,9235,17108,18211,20471,20946,16603,8878,3961,37281,25072,2880,1215,4258,2
203,5754,34451,40246,12190,6357,3641,102631,135813,143119,278929,17250,34558,17118,17452,34086,35537,36470,35106,28527,15504,7326,71046,46725,5010,2244,7917,2
204,2952,20363,24014,8691,5225,2855,64101,83920,86275,170194,9463,20938,10287,8501,17119,19275,23366,25285,20812,10558,4590,44130,26463,3334,1615,4011,2
205,5437,34583,37970,13341,7555,4599,103488,133172,138247,271416,15228,32589,15423,13540,28423,29340,35918,40282,35293,18127,7251,61524,41270,5299,2391,8227,2
206,59472,111376,53364,10323,4075,8289,246911,285795,305884,591679,27028,40368,27570,65808,159836,90017,66343,50874,34506,19956,9372,212343,93688,9349,4780,22651,2
207,9547,45869,49528,13719,6366,3304,128334,172782,186862,359644,17415,41882,24314,28564,48315,44705,49792,40646,31487,21417,11110,100607,60717,4671,2608,11510,2
208,11214,56179,57897,14006,6309,4123,149732,194086,209615,403707,23346,50515,23090,25368,52231,57088,58600,46291,34044,20587,12538,122078,67328,5780,3002,11121,2
209,10323,54499,65885,21034,11742,5192,168667,243480,251875,495353,34572,61271,29178,33852,76421,71765,65482,54028,38246,21466,9057,140525,79008,7521,4551,16224,2
210,6795,37564,45762,15487,8872,4140,118615,180073,183294,363371,26454,48313,23121,24425,55208,50908,48264,37105,26721,16209,6650,96484,51140,4970,3811,12659,2
211,6832,51914,72361,24769,14770,4656,175298,244075,255533,499608,30166,61388,31809,30848,63435,67780,71134,62391,46081,23943,10639,150004,85509,8168,4043,13566,2
212,13023,74142,97305,32891,17630,8025,243018,376466,378804,755265,52811,97337,50095,58490,116387,105635,96584,77349,55358,31914,13311,208894,109820,9495,7479,28003,2
213,14835,79285,91548,28333,14133,8293,236425,362540,364901,727443,58360,96601,42871,50091,126540,114709,91031,71110,45235,22199,8698,207579,101264,9880,7486,30051,2
214,5279,35924,42496,12861,6752,4168,107477,140290,148846,289142,17020,34842,16958,15920,31974,36487,40081,37104,32608,18360,7772,77116,46697,4683,2403,7856,2
215,3471,18192,20057,7546,4810,2822,56900,74721,75314,150035,8524,18158,9101,7825,16382,16175,20112,21405,17186,10355,4819,37677,21576,2653,1477,3891,2
216,2471,14861,17355,6499,3892,2242,47321,64500,65469,129971,7871,16593,8377,6706,14067,14628,17361,17490,14681,8616,3579,32563,18407,2441,1294,3306,2
217,2298,14908,17003,6281,4004,2048,46541,60506,62189,122701,6783,15243,7635,6408,12295,13624,17133,17876,14254,7910,3529,31542,20253,2565,1248,2711,2
297,0,0,0,0,0,0,0,28,4,29,0,0,0,0,4,3,11,5,0,0,0,16,0,0,0,0,2
299,0,0,0,0,0,0,0,4331,3238,7565,379,367,357,898,1848,1295,975,816,482,121,38,1194,641,111,84,613,2
