SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
201011001,74,1118,1803,521,271,103,3886,5704,5954,11654,842,1879,913,720,1491,1598,1611,1218,865,402,121,3382,2070,221,76,311,2
201011002,360,1905,1667,421,160,145,4654,5695,6353,12046,607,1367,888,790,1381,1383,1666,1551,1250,784,389,3123,2086,217,69,383,2
201011003,597,3301,3293,980,487,326,8992,10965,12118,23083,1480,2768,1367,1557,3008,2816,3068,2890,2246,1289,601,6088,3877,398,166,741,2
201011004,863,3984,3213,932,425,449,9868,11498,12736,24231,1633,2736,1383,2355,3613,2882,2773,2744,2262,1268,574,5539,3851,404,202,989,2
201011005,58,503,1038,371,237,72,2281,3613,3540,7153,432,1060,526,648,606,922,935,986,684,285,79,1776,1271,159,84,212,2
201011006,86,700,1008,372,220,89,2472,3424,3660,7082,476,958,532,516,965,867,890,775,644,311,146,1922,1179,120,59,225,2
201011007,10,173,491,300,236,37,1246,2021,1909,3932,214,654,312,201,308,543,658,571,337,109,26,1163,665,84,33,85,2
201011008,516,2160,1922,543,259,271,5667,7039,7590,14633,1055,1803,905,913,1932,1693,1682,1626,1525,1033,466,3151,2024,219,110,514,2
201021009,46,527,748,371,292,86,2079,2946,2927,5870,331,766,382,248,543,779,963,850,670,244,86,1624,907,108,65,167,2
201021010,98,815,1054,452,347,177,2933,3843,3974,7821,389,946,396,331,660,874,1074,1326,1059,528,237,1719,1190,169,92,199,2
201021011,140,1186,1344,477,290,181,3612,4299,4657,8956,367,972,359,271,584,1028,1426,1735,1397,560,261,1915,1702,190,84,181,2
201021012,17,359,766,430,324,79,1964,2861,2795,5656,288,818,366,251,417,712,1015,867,642,221,63,1536,933,123,74,135,2
201031013,46,404,502,197,149,70,1365,1658,1642,3302,134,362,143,117,202,344,439,657,583,242,74,695,426,65,27,93,2
201031014,48,403,589,242,210,70,1561,2411,1984,4395,225,485,201,145,382,495,660,769,675,244,117,889,608,96,37,97,2
201031015,25,351,652,319,219,70,1632,2290,2197,4483,250,630,297,190,414,572,676,700,533,172,54,1073,718,86,47,148,2
201031016,296,1377,1060,307,151,188,3374,3786,4129,7921,381,862,419,412,654,754,954,1089,1215,824,354,1361,1061,101,66,223,2
201031017,76,594,797,341,250,109,2164,2741,2528,5268,210,581,276,216,361,486,804,982,873,372,108,1006,720,75,43,204,2
202011018,593,2492,1797,499,228,285,5885,7025,7433,14460,810,1535,827,1164,2097,1696,1801,1809,1364,859,503,3461,2240,243,105,557,2
202011019,339,1624,1594,539,252,232,4577,5785,6180,11965,842,1541,755,871,1580,1376,1402,1475,1189,675,251,2613,1744,207,105,462,2
202011020,316,2082,1946,563,254,185,5340,6419,7090,13507,666,1457,909,1058,1444,1342,1702,1745,1532,1052,613,3252,2355,258,80,424,2
202011021,257,1421,1275,378,161,131,3630,4362,4932,9295,485,1161,688,1143,1202,1097,1047,1048,726,418,284,2304,1780,187,69,360,2
202011022,501,2868,2839,859,371,323,7758,9336,10351,19687,1252,2192,1036,1331,2777,2243,2236,2384,2150,1422,668,4846,2913,297,137,600,2
202011023,12,176,768,320,213,40,1528,2565,2524,5084,430,888,401,226,559,785,738,573,362,96,25,1474,910,130,21,109,2
202011024,22,567,1349,482,255,54,2729,4293,4334,8630,632,1548,674,382,798,1277,1212,1045,699,298,71,2359,1589,193,77,168,2
202011025,128,1141,1781,613,303,157,4118,5682,6067,11747,1053,1643,734,804,1965,1429,1415,1327,866,416,110,3302,1927,299,120,275,2
202021026,11,329,1032,530,390,72,2356,3610,3569,7184,467,1117,525,287,692,907,1172,1045,704,213,55,2007,1274,177,69,158,2
202021027,301,1720,1298,393,213,184,4115,5280,5296,10583,505,1089,501,436,1048,1289,1527,1595,1369,838,388,2027,1797,158,64,228,2
202021028,59,949,1325,545,374,126,3373,4257,4212,8474,338,917,449,303,505,893,1354,1702,1319,515,182,1901,1514,166,66,207,2
202021029,71,526,693,250,163,123,1826,2258,2250,4513,188,471,219,144,303,443,645,838,748,402,107,895,572,75,42,125,2
202021030,156,1091,1325,505,303,148,3532,4682,4968,9648,575,1118,540,414,848,1250,1409,1369,1234,604,285,2347,1700,154,86,188,2
202021031,76,627,1032,373,205,60,2377,3313,3590,6899,414,1019,426,288,471,989,1112,983,786,289,120,1792,1190,142,41,159,2
202031032,29,328,597,325,242,69,1593,2225,2137,4363,256,583,293,167,334,511,717,740,509,203,68,1145,698,77,48,96,2
202031033,127,786,921,421,369,157,2775,3603,3457,7057,322,803,388,218,483,684,989,1282,1064,581,247,1561,866,126,90,146,2
203011034,18,315,923,394,259,60,1956,3228,3189,6420,525,1138,432,319,742,1010,846,643,460,201,100,1806,1032,135,61,118,2
203011035,24,405,976,473,389,80,2339,3476,3377,6855,441,1064,451,262,659,959,1105,993,669,213,42,1939,1141,133,87,158,2
203011036,42,384,769,400,308,90,1994,2907,2839,5745,302,790,355,284,469,721,882,921,632,273,116,1544,1089,124,54,96,2
203021037,467,2361,2008,492,208,200,5733,6714,7310,14021,859,1480,760,1028,2181,1714,1632,1518,1335,892,622,3663,2463,245,113,418,2
203021038,1181,3847,2788,951,410,595,9767,12860,13484,26348,1621,3464,2217,2033,3340,3034,3411,3184,2341,1282,418,4992,3221,346,270,1318,2
203021039,503,2229,1701,418,183,186,5226,6092,6598,12694,692,1071,628,1093,2047,1540,1714,1768,1160,652,318,3670,2275,235,124,379,2
203021040,726,3131,2795,707,317,293,7966,9240,10226,19468,1279,2094,972,1448,3146,2650,2605,2234,1518,1000,512,5721,3422,407,158,592,2
203021041,375,2671,3469,990,552,260,8315,11152,12122,23275,1558,2763,1377,1909,3271,3038,2659,2382,2124,1288,910,6271,4111,433,162,649,2
203021042,232,2146,3425,1021,519,176,7515,10831,11268,22098,1308,2858,1784,1897,2332,2756,2905,2657,2009,1152,445,5756,4263,441,152,651,2
203021043,159,1502,2468,939,575,177,5814,9377,8718,18088,1198,2383,1160,1125,2499,2743,2569,2038,1448,651,272,5105,2741,335,152,416,2
203021044,109,1458,1979,621,311,114,4588,6195,6623,12814,942,1582,834,671,1763,1572,1587,1459,1385,744,286,3407,2186,254,90,347,2
203021045,523,2344,1850,601,322,264,5900,6948,7651,14593,740,1516,809,1046,1667,1595,2027,1935,1642,1080,540,3338,2261,226,131,474,2
203021046,213,1374,1569,380,165,107,3805,4879,5275,10155,587,1351,749,554,1144,1318,1445,1335,903,489,271,2830,1845,167,69,254,2
203021047,467,2085,2006,559,298,232,5652,7042,7587,14631,855,1510,765,881,1994,1766,1749,1727,1657,1109,609,3611,2197,216,121,494,2
203031048,161,1612,2062,656,343,179,5023,6384,6961,13349,714,1675,804,638,1260,1506,1724,1935,1701,1028,358,3131,2227,208,111,355,2
203031049,66,697,733,232,85,73,1889,2516,2538,5051,201,540,231,168,415,511,703,917,804,379,188,1157,977,103,43,74,2
203031050,167,2375,3864,1058,507,215,8174,11406,12015,23421,1670,3431,1257,1028,2523,3304,2948,3167,2521,1068,509,6097,4284,445,162,468,2
203031051,122,1220,1179,319,132,136,3116,3611,3794,7397,276,625,295,232,409,617,900,1390,1618,728,314,1223,987,122,43,216,2
203031052,60,651,640,155,74,56,1638,1924,2222,4148,130,398,185,103,205,333,464,682,870,532,237,755,649,70,24,59,2
203031053,123,1643,3039,836,411,147,6204,9036,9328,18362,1350,2825,1046,737,2028,2860,2584,2218,1732,725,264,5032,3345,365,131,386,2
204011054,112,770,895,355,228,187,2549,3178,3162,6337,254,580,261,222,506,644,833,1139,1167,516,219,1465,1003,123,56,137,2
204011055,105,868,906,364,234,125,2599,3074,3197,6278,255,638,290,197,469,549,827,1137,1061,593,261,1443,983,113,77,130,2
204011056,150,1456,1761,734,538,200,4845,6827,7049,13871,862,1936,1061,808,1520,1651,2012,1671,1386,719,241,3670,1993,249,140,372,2
204011057,109,976,1213,475,281,178,3233,4418,4427,8848,434,1133,511,331,736,985,1179,1446,1326,548,207,2177,1482,158,88,138,2
204011058,50,493,609,217,124,80,1578,1996,2008,4004,197,424,198,157,367,428,524,711,592,300,119,1041,600,83,39,82,2
204011059,239,930,731,246,131,158,2441,3119,3212,6327,316,656,401,451,644,666,841,978,735,435,205,1388,904,97,71,189,2
204011060,9,273,561,265,218,44,1360,2429,2003,4432,340,542,320,276,572,550,635,598,420,150,46,1410,591,105,47,93,2
204011061,4,26,27,7,9,3,84,91,95,182,13,12,6,9,18,17,42,29,20,11,3,40,27,3,0,3,2
204011062,32,428,521,226,147,69,1419,1818,1742,3560,149,436,172,106,235,379,471,666,622,242,82,819,525,76,44,83,2
204021063,320,1672,1464,438,220,202,4325,4909,5419,10330,500,1092,582,524,935,971,1314,1522,1468,930,485,2281,1442,197,70,254,2
204021064,11,238,516,287,203,36,1291,1838,1756,3595,179,406,197,126,279,348,557,760,531,169,43,981,586,83,50,63,2
204021065,61,475,575,224,135,58,1521,1901,1964,3869,178,484,239,156,315,462,566,597,540,230,102,1080,563,80,35,89,2
204021066,533,2892,2651,714,323,382,7495,8791,9922,18710,1045,2314,1094,959,1977,2132,2366,2415,2110,1446,856,4430,2927,335,166,447,2
204021067,37,661,1466,663,532,130,3482,4857,4737,9600,485,1254,548,343,671,1163,1496,1674,1304,509,150,2728,1720,220,83,172,2
204031068,68,530,643,239,117,68,1664,2261,2310,4569,201,539,212,132,363,564,684,797,646,314,119,1047,805,106,37,75,2
204031069,137,1086,1099,366,214,145,3046,4033,4119,8154,349,958,406,320,719,981,1153,1357,1183,525,203,2028,1404,177,70,118,2
204031070,30,264,459,211,148,38,1152,1536,1566,3100,171,401,186,134,268,361,522,535,333,144,41,875,526,87,40,88,2
204031071,81,590,655,258,164,104,1847,2276,2358,4634,200,518,282,167,347,454,705,812,563,401,179,1150,729,100,62,106,2
204031072,66,655,854,368,260,114,2317,3061,2892,5956,280,676,330,210,451,567,872,1033,910,433,197,1542,893,141,81,133,2
204031073,220,1761,2264,693,318,159,5419,7250,7703,14955,1074,2133,1002,926,1936,1877,1988,1873,1273,596,275,4214,2369,248,120,420,2
204031074,543,3009,3494,1020,459,321,8846,12045,12352,24398,1750,3150,1675,1776,3481,2973,3054,2820,2117,1123,471,6995,3601,456,183,744,2
204031075,22,318,650,309,232,52,1582,2199,2290,4487,234,654,300,173,311,555,708,721,530,210,90,1308,788,97,49,87,2
205011076,190,1815,2294,814,490,201,5807,7849,8360,16207,1135,2154,937,879,2029,1800,2022,2041,1810,1016,382,4056,2319,265,134,434,2
205011077,34,486,792,465,309,83,2172,3061,2959,6019,278,764,394,252,420,664,915,1093,823,319,91,1585,970,128,65,155,2
205011078,70,777,1133,430,281,99,2797,3752,3895,7641,468,1000,425,379,812,904,985,1184,886,417,178,1911,1277,167,81,180,2
205011079,346,2146,2592,911,602,275,6872,8965,9797,18758,1068,2441,1264,1019,2022,2075,2580,2423,2225,1186,453,4832,3015,348,158,479,2
205021080,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2
205021081,345,2029,1964,623,298,329,5587,6905,7819,14728,903,1717,838,822,1628,1518,1767,1908,1851,1212,563,3114,2200,285,120,368,2
205021082,54,674,1166,512,351,138,2894,3974,3767,7743,393,940,439,296,657,803,1152,1320,1159,477,98,1860,1365,180,74,186,2
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205021084,180,1397,1475,432,205,224,3908,4867,5047,9916,435,1007,473,333,717,915,1229,1676,1951,885,307,1727,1421,216,86,266,2
205021085,166,915,961,331,146,131,2648,3282,3164,6448,267,733,305,194,440,555,917,1208,1130,527,180,1130,972,130,72,226,2
205021086,76,908,1018,316,133,125,2577,3141,3171,6313,231,528,252,188,379,495,727,1115,1442,711,244,1098,812,127,49,117,2
205031087,120,1104,1318,504,281,142,3463,4352,4376,8731,455,836,428,307,652,809,1202,1579,1509,704,254,1838,1405,176,86,186,2
205031088,13,22,15,0,3,6,55,61,54,119,0,17,0,0,7,10,13,30,26,5,0,22,27,0,0,0,2
205031089,114,990,1243,524,363,110,3338,4462,4659,9122,487,1230,531,364,849,1035,1296,1442,1126,498,253,2247,1457,188,115,226,2
205031090,155,1266,1538,604,356,142,4066,5369,5707,11079,655,1497,662,487,1056,1179,1487,1561,1421,749,309,2643,1839,201,100,221,2
205031091,193,1648,1543,364,166,179,4099,5008,5376,10387,520,1197,463,319,887,1112,1332,1686,1713,781,374,1958,1748,265,81,254,2
205031092,0,0,0,0,0,0,6,8,3,13,0,3,0,0,0,3,0,0,0,0,0,7,5,0,0,0,2
205031093,520,3412,3248,969,409,461,9013,10786,11439,22228,1133,2450,1109,803,1972,2211,2884,3456,3569,1878,763,4274,3485,453,184,597,2
