SA1_MAINCODE_2016,SA2_NAME_2016,SA3_NAME_2016
29999949999,No usual address (Vic.),No usual address (Vic.)
20403106914,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106911,Bright - Mount Beauty,Wodonga - Alpine
20403106905,Bright - Mount Beauty,Wodonga - Alpine
20403106931,Bright - Mount Beauty,Wodonga - Alpine
20403106923,Bright - Mount Beauty,Wodonga - Alpine
20403106905,Bright - Mount Beauty,Wodonga - Alpine
20403106931,Bright - Mount Beauty,Wodonga - Alpine
20403106914,Bright - Mount Beauty,Wodonga - Alpine
20403106914,Bright - Mount Beauty,Wodonga - Alpine
20403106911,Bright - Mount Beauty,Wodonga - Alpine
20403106918,Bright - Mount Beauty,Wodonga - Alpine
20403106917,Bright - Mount Beauty,Wodonga - Alpine
20403106926,Bright - Mount Beauty,Wodonga - Alpine
20403106926,Bright - Mount Beauty,Wodonga - Alpine
20403106905,Bright - Mount Beauty,Wodonga - Alpine
20403106909,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106902,Bright - Mount Beauty,Wodonga - Alpine
20403106911,Bright - Mount Beauty,Wodonga - Alpine
20403106905,Bright - Mount Beauty,Wodonga - Alpine
20403106905,Bright - Mount Beauty,Wodonga - Alpine
20403106904,Bright - Mount Beauty,Wodonga - Alpine
20403106919,Bright - Mount Beauty,Wodonga - Alpine
20403106916,Bright - Mount Beauty,Wodonga - Alpine
20403106928,Bright - Mount Beauty,Wodonga - Alpine
20403106924,Bright - Mount Beauty,Wodonga - Alpine
20403106921,Bright - Mount Beauty,Wodonga - Alpine
20403106909,Bright - Mount Beauty,Wodonga - Alpine
20403106919,Bright - Mount Beauty,Wodonga - Alpine
20403106923,Bright - Mount Beauty,Wodonga - Alpine
20403106906,Bright - Mount Beauty,Wodonga - Alpine
20403106912,Bright - Mount Beauty,Wodonga - Alpine
20403106931,Bright - Mount Beauty,Wodonga - Alpine
20403106914,Bright - Mount Beauty,Wodonga - Alpine
20403106914,Bright - Mount Beauty,Wodonga - Alpine
20403106927,Bright - Mount Beauty,Wodonga - Alpine
20403106927,Bright - Mount Beauty,Wodonga - Alpine
20403106927,Bright - Mount Beauty,Wodonga - Alpine
20403106906,Bright - Mount Beauty,Wodonga - Alpine
20403106928,Bright - Mount Beauty,Wodonga - Alpine
20403106928,Bright - Mount Beauty,Wodonga - Alpine
20403106928,Bright - Mount Beauty,Wodonga - Alpine
20403106928,Bright - Mount Beauty,Wodonga - Alpine
20403107510,Yackandandah,Wodonga - Alpine
